company,time,Mclsprc,Mnshrtrd,Mnvaltrd,Msmvosd,returns1,shizhi,returns
418,Nov-02,11.48,8550277,102271713.6,826560,-0.031021189,736920,-0.037151119
418,Nov-01,12.15,3292379,38282103.34,874800,0.013430987,772080,-0.009297589
422,Nov-16,7.6,594915043,4619207789,6823378.68,0.028333599,6462698.393,-0.009898066
422,Nov-15,7.33,491383368,3670777699,6580969.17,0.004167354,5882171.402,-0.010611513
422,Nov-14,6.62,519051579,3294920809,5784190.76,0.033397515,6663185.258,0.026906881
422,Nov-13,6.7,178932330,1173568748,5854134.6,0.014499797,4999482.6,-0.019494968
422,Nov-12,9.03,191248887,1891330554,7013226.31,-0.06920821,8811892,-0.014146301
422,Nov-11,19.2,221208451,4500727308,10408178.25,-0.040157138,10258199.29,-0.003774262
422,Nov-10,18.73,397833005,8270694758,10153394.72,-0.08118616,10804809.34,-0.004769826
422,Nov-09,20.29,192450497,3725945990,9770750.02,0.05735029,10779778.01,-0.001066276
422,Nov-08,7.99,541809299,4260278511,3847806.48,0.039819251,4943192,0.032235789
422,Nov-07,15.79,110960740,1911820981,7604113.18,-0.078079674,11466366.99,0.014681532
422,Nov-06,4.74,120546281,555861704,1844270.89,0.008325389,3151274.62,0.084869497
422,Nov-05,4.94,31367474,156216586,768940.74,-0.012990833,967176.0683,0.023988075
422,Nov-04,8.94,53716294,473175748,1265058.94,0.022429829,1088648.78,-0.007446487
422,Nov-03,6.42,9621109,60892245,698819.34,-0.011350387,802771.44,0.009266067
422,Nov-02,7.78,4300679,35264603.84,846855.84,-0.054981107,883683.5467,-0.0125928
422,Nov-01,9.58,4987145,45241826.04,1042786.5,0.012882561,970763.84,0
425,Nov-16,3.62,1854978794,6430992618,25316707.73,0.04549097,25946128.65,0.010328374
425,Nov-15,4.38,5468992696,25564592486,30964436.11,-0.007860748,25203801.02,-0.020499264
425,Nov-14,10.21,1093895613,10735743090,20987933.17,0.073014946,30448976.35,0.038600313
425,Nov-13,7.98,173789131,1367018450,16394642.76,0.005476674,14627613.66,-0.012830381
425,Nov-12,10.06,86191056,902215186,20667933.1,-0.018591318,23081931.25,-0.002525224
425,Nov-11,13.82,298703304,4781144410,14287877.1,-0.080384206,15302778.16,-0.006175536
425,Nov-10,52.87,187239843,9872349601,18647447.58,0.017345598,19052707.85,-0.051727098
425,Nov-09,35.15,88906198,3223125326,12371458.89,0.004845562,12693936.77,0.004029596
425,Nov-08,16,93895740,1365095528,6029315.86,0.107905397,9329206.345,0.063508569
425,Nov-07,20.1,55640406,1232593025,5666061.84,-0.0733809,7197246.852,-0.035618994
425,Nov-06,6.75,52927127,327057602,1441952.52,0.025846657,3023555.133,0.061621526
425,Nov-05,3.54,53302111,203514497,756223.99,-0.033060101,830991.8983,0.01360626
425,Nov-04,6,60868112,332952440,1281735.58,0.056340635,938515.2733,-0.040300612
425,Nov-03,6.39,68630582,431052627,1365048.39,0.013810209,1563717.403,0.017564392
425,Nov-02,19.42,8672144,166788424.3,3771409.83,0.003592943,3738071.758,-0.001250945
425,Nov-01,17.47,2620130,48072575.45,3392715.23,-0.029548702,3536424.975,-0.002320526
488,Nov-16,10.73,703969846,7191675711,11855032.52,0.051962774,12846205.08,0.016333916
488,Nov-15,8.75,721852071,6806962654,9669075.82,-0.010299957,8980269.278,-0.005277168
488,Nov-14,5.27,334367228,1704157650,5823546.24,0.030729123,7582397.173,0.045214641
488,Nov-13,5.01,145357241,702337608.3,5535168.96,0.038972248,5042754.95,-0.004398035
488,Nov-12,3.63,131702565,512364148.6,2944572.23,-0.048619409,4183448.203,-0.001805142
488,Nov-11,5.4,149017883,869093133.6,4378631.57,-0.038458252,4032002.81,-0.014334442
488,Nov-10,7.3,620304982,5135551389,5910164.15,-0.061989231,6263913.502,0.000684472
488,Nov-09,8.18,614785387,5104059327,6618789.4,0.036535463,6767589.258,0.006177677
488,Nov-08,5.03,384559288,2062654233,4071020.46,0.018520947,5045978.957,0.031323629
488,Nov-07,14.1,303194263,4123621133,11329401.52,0.004022707,13107601.74,0.01555858
488,Nov-06,5,352058944,1686152879,2266815.84,0.056505484,3639266.057,0.069390161
488,Nov-05,4.19,140166947,589215135,1512365.8,-0.013269724,1949396.547,-0.001012358
