company,time,Mclsprc,Mnshrtrd,Mnvaltrd,Msmvosd,returns1,shizhi,returns
410,May-13,6.19,65030010,391847908.8,3337801.42,0.048180884,2978318.228,-0.001318478
410,May-12,8.47,85076037,720534086.3,4564589.71,0.010377901,3584669.948,-0.024934649
410,May-11,10.68,60569610,692628250.4,5731111.86,-0.03887159,5802661.323,-0.018146493
410,May-10,11.83,169941915,2121713781,6348225.97,-0.053795832,6727438.113,0.007831375
410,May-09,8.44,216016893,1712271943,4509838.87,0.067805249,4537338.343,0.024368993
410,May-08,10.03,107930672,1245506758,3038531.6,-0.070581074,2172613.828,-0.081826172
410,May-07,24.53,172652872,4008485951,7323319.57,0.083701665,7267097.142,-0.000466638
410,May-06,11.73,115084347,1342748027,2111896.95,0.079848194,2369957.677,0.022834383
410,May-05,5.92,28431551,173008631,801406.98,-0.039253299,899552.2567,0.011444462
410,May-04,8.8,29348370,267460617,1191280.64,-0.004419089,979873.45,-0.013474233
410,May-03,6.33,17367622,106666348,856909.82,0.033506094,948060.8433,0.018341556
410,May-02,7.17,46952988,355452527.3,970622.98,-0.014299052,981904.0433,-0.010946463
410,May-01,10.65,43979493,446782585.6,1441720.32,0.042822294,1210909.695,-0.019411825
418,May-17,45.86,45491908,2083731979,20111222.99,0.002755022,20875597.84,0.018153673
418,May-16,29.8,103414935,3085880866,13044672.92,-0.003628212,14715187.48,0.007628657
418,May-15,22.46,164256427,3653467161,9832201.94,0.024869083,9335747.817,-0.000376369
418,May-14,9.15,13102875,120909663.7,4005522.32,0.002379702,4809535.733,0.023439875
418,May-13,9.48,82887656,783182669.9,2088445.49,0.030356072,1800441.727,0.001779322
418,May-12,11.21,286954045,3103984568,2423240.88,0.076015989,1782165.377,-0.019476789
418,May-11,16.28,34535741,599918443.3,3539766.21,-0.043618105,3030590.363,-0.035580864
418,May-10,13.96,68107422,917654090.5,4859899.94,-0.014380913,5686655.407,0.016920056
418,May-09,8.25,78150482,669865220.7,1755550.11,-0.028028724,2403274.628,0.019369195
418,May-08,7.77,45686867,596791700.6,1642478.99,-0.305201925,1084768.945,-0.11598931
418,May-07,10.46,107318369,1298906937,941086.2,-0.066115604,1652369.613,0.023492103
418,May-06,5.45,53762764,264228332.1,392400,0.116260447,368910.25,0.009578483
418,May-05,3.47,3658349,12422118,249840,0.00251038,244920,-0.001269899
418,May-04,6.74,8097235,55890595,485280,-0.022598452,393720,-0.031732145
418,May-03,8.15,34105989,260318697,586800,0.043101247,527160,-0.003311208
418,May-02,9.35,4759152,47717486.44,673200,-0.044548145,807600,0.012600554
418,May-01,15.26,5662030,84940381.36,1098720,0.006884601,949440,-0.01758744
422,May-17,5.62,254573979,1493327079,5045637.32,-0.043355285,5361400.005,-0.016560775
422,May-16,6.09,143717281,875246105.1,5467681.07,-0.012650248,5771441.132,0.009202076
422,May-15,9.5,859509877,7990697499,8301859.13,0.028821844,6863501.787,-0.014660857
422,May-14,5.06,147523489,762720960.3,4421367.02,0.009545318,4904657.333,0.015475879
422,May-13,9.31,322203951,2921290500,8134385.75,0.028931526,6239972.458,-0.021407192
422,May-12,14.3,229474085,4636781241,11106492.21,-0.145476757,9493441.078,-0.045986139
422,May-11,17.8,156338463,3100635358,9649248.58,-0.074684981,11104767.26,-0.000274436
